Maximum of 50 posts available to include in this list;;;;;;
;;;;;;
Post URL;Post Publish Date;Engagements;;Post URL;Post Publish Date;Impressions
https://www.linkedin.com/posts/victor-ematin_zerobudgetqa-genaitesting-testautomation-ugcPost-7450219992798830592-y8ND;4/15/2026;3;;https://www.linkedin.com/posts/victor-ematin_four-ways-to-ai-based-testing-mas-swe-tester-ugcPost-7453070599373012995-GXcw;4/23/2026;318
https://www.linkedin.com/posts/victor-ematin_technical-evaluation-and-feature-summary-ugcPost-7462990642806382593-otbz;5/21/2026;2;;https://www.linkedin.com/posts/victor-ematin_swetester-maspipeline-testingai-ugcPost-7454564037159378944-Vs4Y;4/27/2026;309
https://www.linkedin.com/posts/victor-ematin_view-my-verified-achievement-from-istqb-ugcPost-7457203862647521280-426t;5/5/2026;2;;https://www.linkedin.com/posts/victor-ematin_beyond-vibe-codingdawn-of-software30-ugcPost-7460450207936471040-XvgB;5/14/2026;303
https://www.linkedin.com/posts/victor-ematin_from-vibing-to-production-5-counter-intuitive-ugcPost-7460105293113384960-5YiO;5/13/2026;1;;https://www.linkedin.com/posts/victor-ematin_from-vibing-to-production-5-counter-intuitive-ugcPost-7460105293113384960-5YiO;5/13/2026;252
https://www.linkedin.com/posts/victor-ematin_how-we-evaluate-ai-tools-for-test-automation-ugcPost-7467693059800072192-hoL9;6/4/2026;1;;https://www.linkedin.com/posts/victor-ematin_webwright-reality-check-ugcPost-7467004140292816896-B2MP;6/3/2026;187
https://www.linkedin.com/posts/victor-ematin_googleantigravity-aiagenttesting-share-7465016849559138304-yEAN;5/26/2026;1;;https://www.linkedin.com/posts/victor-ematin_this-article-illustrated-by-notebooklm-ugcPost-7460454065471320064-maTO;5/14/2026;185
https://www.linkedin.com/posts/victor-ematin_orangehrm-playwright-testautomation-share-7468437616959598592-bWCv;6/5/2026;1;;https://www.linkedin.com/posts/victor-ematin_how-we-evaluate-ai-tools-for-test-automation-ugcPost-7467693059800072192-hoL9;6/4/2026;178
;;;;https://www.linkedin.com/posts/victor-ematin_phase-1-the-skeleton-ugcPost-7468123264003784704-_h8M;6/4/2026;164
;;;;https://www.linkedin.com/posts/victor-ematin_webwright-agentic-browser-automation-ugcPost-7467012991712940032-n64S;6/1/2026;158
;;;;https://www.linkedin.com/posts/victor-ematin_e2e-testing-for-orangehrm-ugcPost-7467945630313926656-G9hM;6/3/2026;154
;;;;https://www.linkedin.com/posts/victor-ematin_googleantigravity-aiagenttesting-share-7465016849559138304-yEAN;5/26/2026;91
;;;;https://www.linkedin.com/posts/victor-ematin_opentowork-qualityengineering-qaleadership-share-7419107844672864256-bCS6;1/19/2026;70
;;;;https://www.linkedin.com/posts/victor-ematin_view-my-verified-achievement-from-istqb-ugcPost-7457203862647521280-426t;5/5/2026;50
;;;;https://www.linkedin.com/posts/victor-ematin_opentowork-ugcPost-7365892052540207104-55iM;8/26/2025;16
;;;;https://www.linkedin.com/posts/victor-ematin_orangehrm-playwright-testautomation-share-7468437616959598592-bWCv;6/5/2026;9
;;;;https://www.linkedin.com/posts/victor-ematin_%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B5%D0%B5-%D0%BC%D0%B5%D1%81%D1%82%D0%BE-%D1%81%D0%B0%D0%BC%D0%BE%D0%B3%D0%BE%D0%B6%D0%B0%D0%B4%D0%BD%D0%BE%D0%B3%D0%BE%D0%B4%D0%BE%D0%BA%D1%80%D1%83%D0%B3%D0%BE%D0%B7%D0%BE%D1%80%D0%B0%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA%D0%B0-share-6503373320556281856-ns4Z;2/19/2019;4
;;;;https://www.linkedin.com/posts/share-6141894719719960576-Ch1x;5/27/2016;4
;;;;https://www.linkedin.com/posts/victor-ematin_%D1%81%D1%82%D0%B5%D0%BD%D1%8B-%D0%BE%D1%84%D0%B8%D1%81%D0%B0-%D1%83%D0%BA%D1%80%D0%B0%D1%81%D0%B8%D0%BB%D0%B8-%D0%B0%D1%80%D1%85%D0%B8%D1%82%D0%B5%D0%BA%D1%82%D1%83%D1%80%D0%BD%D1%8B%D0%BC%D0%B8-%D0%B8%D0%B7%D1%8E%D0%BC%D0%B8%D0%BD%D0%BA%D0%B0%D0%BC%D0%B8-share-6121739795279470592-KWpJ;4/1/2016;3
;;;;https://www.linkedin.com/posts/victor-ematin_opentowork-ugcPost-7365891566294429698-_FmY;8/26/2025;3
;;;;https://www.linkedin.com/posts/victor-ematin_it-course-certificate-ugcPost-6513545191343951872-VEJq;3/19/2019;3
;;;;https://www.linkedin.com/posts/victor-ematin_img20150930165644jpg-share-6055472771973070848-ougG;10/2/2015;3
;;;;https://www.linkedin.com/posts/share-6611952768653627392-XCyV;12/15/2019;2
;;;;https://www.linkedin.com/posts/victor-ematin_%D0%BD%D0%BE%D0%B2%D1%8B%D0%B9-%D0%BE%D1%84%D0%B8%D1%81-%D1%81%D0%BF%D1%83%D1%82%D0%BD%D0%B8%D0%BA%D0%B0-%D1%82%D0%B5%D0%BF%D0%B5%D1%80%D1%8C-%D0%B2%D0%BC%D0%B5%D1%81%D1%82%D0%B5-%D1%81-%D1%80%D0%BE%D1%81%D1%82%D0%B5%D0%BB%D0%B5%D0%BA%D0%BE%D0%BC%D0%BE%D0%BC-share-6108567446984155136-Mzcf;2/25/2016;2
;;;;https://www.linkedin.com/posts/victor-ematin_share-6668870513722449920-RnHe;5/20/2020;1
;;;;https://www.linkedin.com/posts/victor-ematin_img20151002163512jpg-share-6055707712350666752-eJfe;10/2/2015;1
;;;;https://www.linkedin.com/posts/victor-ematin_httpslnkdingkjbub7-share-6480844402976788480-MEuC;12/18/2018;1
